timestamp,location,time,date,hour,minute,customer_id,next,delta,total_time_customer,step,prev
2019-09-02 07:03:00,dairy,2019-09-02 07:03:00,2019-09-02,7,3,1.0,checkout,2.0,2.0,1.0,
2019-09-02 07:03:00,dairy,2019-09-02 07:03:00,2019-09-02,7,3,2.0,checkout,3.0,3.0,1.0,
2019-09-02 07:04:00,dairy,2019-09-02 07:04:00,2019-09-02,7,4,3.0,checkout,2.0,2.0,1.0,
2019-09-02 07:04:00,dairy,2019-09-02 07:04:00,2019-09-02,7,4,4.0,checkout,4.0,4.0,1.0,
2019-09-02 07:04:00,spices,2019-09-02 07:04:00,2019-09-02,7,4,5.0,checkout,1.0,1.0,1.0,
2019-09-02 07:04:00,spices,2019-09-02 07:04:00,2019-09-02,7,4,6.0,dairy,1.0,25.0,1.0,
2019-09-02 07:04:00,spices,2019-09-02 07:04:00,2019-09-02,7,4,7.0,drinks,1.0,9.0,1.0,
2019-09-02 07:04:00,fruit,2019-09-02 07:04:00,2019-09-02,7,4,8.0,checkout,3.0,3.0,1.0,
2019-09-02 07:05:00,checkout,2019-09-02 07:05:00,2019-09-02,7,5,1.0,,0.0,2.0,2.0,dairy
2019-09-02 07:05:00,checkout,2019-09-02 07:05:00,2019-09-02,7,5,5.0,,0.0,1.0,2.0,spices
2019-09-02 07:05:00,dairy,2019-09-02 07:05:00,2019-09-02,7,5,6.0,spices,12.0,25.0,2.0,spices
2019-09-02 07:05:00,drinks,2019-09-02 07:05:00,2019-09-02,7,5,7.0,spices,4.0,9.0,2.0,spices
2019-09-02 07:06:00,checkout,2019-09-02 07:06:00,2019-09-02,7,6,2.0,,0.0,3.0,2.0,dairy
2019-09-02 07:06:00,checkout,2019-09-02 07:06:00,2019-09-02,7,6,3.0,,0.0,2.0,2.0,dairy
2019-09-02 07:06:00,dairy,2019-09-02 07:06:00,2019-09-02,7,6,9.0,fruit,6.0,7.0,1.0,
2019-09-02 07:06:00,fruit,2019-09-02 07:06:00,2019-09-02,7,6,10.0,checkout,2.0,2.0,1.0,
2019-09-02 07:06:00,drinks,2019-09-02 07:06:00,2019-09-02,7,6,11.0,checkout,2.0,2.0,1.0,
2019-09-02 07:06:00,spices,2019-09-02 07:06:00,2019-09-02,7,6,12.0,drinks,1.0,4.0,1.0,
2019-09-02 07:06:00,dairy,2019-09-02 07:06:00,2019-09-02,7,6,13.0,spices,7.0,10.0,1.0,
2019-09-02 07:06:00,fruit,2019-09-02 07:06:00,2019-09-02,7,6,14.0,checkout,3.0,3.0,1.0,
2019-09-02 07:07:00,checkout,2019-09-02 07:07:00,2019-09-02,7,7,8.0,,0.0,3.0,2.0,fruit
2019-09-02 07:07:00,drinks,2019-09-02 07:07:00,2019-09-02,7,7,12.0,checkout,3.0,4.0,2.0,spices
2019-09-02 07:07:00,spices,2019-09-02 07:07:00,2019-09-02,7,7,15.0,fruit,1.0,5.0,1.0,
2019-09-02 07:07:00,dairy,2019-09-02 07:07:00,2019-09-02,7,7,16.0,spices,2.0,4.0,1.0,
2019-09-02 07:08:00,checkout,2019-09-02 07:08:00,2019-09-02,7,8,4.0,,0.0,4.0,2.0,dairy
2019-09-02 07:08:00,checkout,2019-09-02 07:08:00,2019-09-02,7,8,10.0,,0.0,2.0,2.0,fruit
2019-09-02 07:08:00,checkout,2019-09-02 07:08:00,2019-09-02,7,8,11.0,,0.0,2.0,2.0,drinks
2019-09-02 07:08:00,fruit,2019-09-02 07:08:00,2019-09-02,7,8,15.0,checkout,4.0,5.0,2.0,spices
2019-09-02 07:09:00,spices,2019-09-02 07:09:00,2019-09-02,7,9,7.0,fruit,2.0,9.0,3.0,drinks
2019-09-02 07:09:00,checkout,2019-09-02 07:09:00,2019-09-02,7,9,14.0,,0.0,3.0,2.0,fruit
2019-09-02 07:09:00,spices,2019-09-02 07:09:00,2019-09-02,7,9,16.0,checkout,2.0,4.0,2.0,dairy
2019-09-02 07:10:00,checkout,2019-09-02 07:10:00,2019-09-02,7,10,12.0,,0.0,4.0,3.0,drinks
