,time,customer_id,location,delta
1,07:00:00,1,fruit,3
2,07:01:00,1,fruit,2
3,07:01:00,2,fruit,5
4,07:01:00,3,dairy,8
5,07:01:00,4,drinks,1
6,07:02:00,1,fruit,1
7,07:02:00,2,fruit,4
8,07:02:00,3,dairy,7
9,07:02:00,4,checkout,3
10,07:02:00,5,dairy,3
11,07:02:00,6,spices,1
12,07:03:00,1,checkout,3
13,07:03:00,2,fruit,3
14,07:03:00,3,dairy,6
15,07:03:00,5,dairy,2
16,07:03:00,6,drinks,4
17,07:04:00,2,fruit,2
18,07:04:00,3,dairy,5
19,07:04:00,5,dairy,1
20,07:04:00,6,drinks,3
21,07:04:00,7,fruit,3
22,07:04:00,8,fruit,3
23,07:04:00,9,drinks,1
24,07:05:00,2,fruit,1
25,07:05:00,3,dairy,4
26,07:05:00,5,drinks,4
27,07:05:00,6,drinks,2
28,07:05:00,7,fruit,2
29,07:05:00,8,fruit,2
30,07:05:00,9,checkout,2
31,07:05:00,10,fruit,7
32,07:05:00,11,spices,3
33,07:06:00,2,checkout,2
34,07:06:00,3,dairy,3
35,07:06:00,5,drinks,3
36,07:06:00,6,drinks,1
37,07:06:00,7,fruit,1
38,07:06:00,8,fruit,1
39,07:06:00,10,fruit,6
40,07:06:00,11,spices,2
41,07:06:00,12,dairy,1
42,07:06:00,13,dairy,3
43,07:07:00,3,dairy,2
44,07:07:00,5,drinks,2
45,07:07:00,6,fruit,11
46,07:07:00,7,checkout,1
47,07:07:00,8,dairy,1
48,07:07:00,10,fruit,5
49,07:07:00,11,spices,1
50,07:07:00,12,spices,1
51,07:07:00,13,dairy,2
52,07:07:00,14,fruit,2
53,07:08:00,3,dairy,1
54,07:08:00,5,drinks,1
55,07:08:00,6,fruit,10
56,07:08:00,8,fruit,12
57,07:08:00,10,fruit,4
58,07:08:00,11,drinks,2
59,07:08:00,12,checkout,3
60,07:08:00,13,dairy,1
61,07:08:00,14,fruit,1
62,07:08:00,15,fruit,2
63,07:08:00,16,dairy,2
64,07:08:00,17,fruit,1
65,07:08:00,18,drinks,1
66,07:08:00,19,fruit,2
67,07:09:00,3,checkout,5
68,07:09:00,5,spices,3
69,07:09:00,6,fruit,9
70,07:09:00,8,fruit,11
71,07:09:00,10,fruit,3
72,07:09:00,11,drinks,1
73,07:09:00,13,drinks,5
74,07:09:00,14,drinks,3
75,07:09:00,15,fruit,1
76,07:09:00,16,dairy,1
77,07:09:00,17,checkout,4
78,07:09:00,18,checkout,1
79,07:09:00,19,fruit,1
80,07:09:00,20,drinks,2
81,07:09:00,21,spices,2
82,07:09:00,22,spices,2
83,07:10:00,5,spices,2
84,07:10:00,6,fruit,8
85,07:10:00,8,fruit,10
86,07:10:00,10,fruit,2
87,07:10:00,11,checkout,3
88,07:10:00,13,drinks,4
89,07:10:00,14,drinks,2
90,07:10:00,15,checkout,3
91,07:10:00,16,checkout,2
92,07:10:00,19,dairy,2
93,07:10:00,20,drinks,1
94,07:10:00,21,spices,1
95,07:10:00,22,spices,1
96,07:10:00,23,dairy,6
97,07:10:00,24,drinks,3
98,07:10:00,25,spices,1
